open,high,low,close,symbol,date
177.06,177.6778,176.25,177.23,AAPL,2023-08-22T00:00:00+0000
175.07,176.13,173.735,175.84,AAPL,2023-08-21T00:00:00+0000
172.3,175.1,171.96,174.49,AAPL,2023-08-18T00:00:00+0000
177.14,177.5054,173.48,174.0,AAPL,2023-08-17T00:00:00+0000
177.13,178.53,176.5,176.57,AAPL,2023-08-16T00:00:00+0000
178.88,179.47,177.0517,177.45,AAPL,2023-08-15T00:00:00+0000
177.97,179.69,177.305,179.46,AAPL,2023-08-14T00:00:00+0000
177.32,178.62,176.55,177.79,AAPL,2023-08-11T00:00:00+0000
179.48,180.75,177.601,177.97,AAPL,2023-08-10T00:00:00+0000
180.87,180.93,177.01,178.19,AAPL,2023-08-09T00:00:00+0000
179.69,180.27,177.58,179.8,AAPL,2023-08-08T00:00:00+0000
182.13,183.13,177.36,178.85,AAPL,2023-08-07T00:00:00+0000
185.52,187.38,181.92,181.99,AAPL,2023-08-04T00:00:00+0000
191.57,192.37,190.69,191.17,AAPL,2023-08-03T00:00:00+0000
195.04,195.18,191.85,192.58,AAPL,2023-08-02T00:00:00+0000
196.24,196.73,195.28,195.61,AAPL,2023-08-01T00:00:00+0000
196.06,196.49,195.26,196.45,AAPL,2023-07-31T00:00:00+0000
194.67,196.63,194.14,195.83,AAPL,2023-07-28T00:00:00+0000
196.02,197.2,192.56,193.22,AAPL,2023-07-27T00:00:00+0000
193.67,195.64,193.32,194.5,AAPL,2023-07-26T00:00:00+0000
193.33,194.44,192.92,193.62,AAPL,2023-07-25T00:00:00+0000
193.41,194.91,192.29,192.75,AAPL,2023-07-24T00:00:00+0000
194.1,194.97,191.23,191.94,AAPL,2023-07-21T00:00:00+0000
195.09,196.47,192.5,193.13,AAPL,2023-07-20T00:00:00+0000
193.1,198.22,192.65,195.1,AAPL,2023-07-19T00:00:00+0000
193.35,194.33,192.415,193.73,AAPL,2023-07-18T00:00:00+0000
191.9,194.32,191.81,193.99,AAPL,2023-07-17T00:00:00+0000
190.23,191.18,189.63,190.69,AAPL,2023-07-14T00:00:00+0000
190.5,191.19,189.78,190.54,AAPL,2023-07-13T00:00:00+0000
189.68,191.7,188.47,189.77,AAPL,2023-07-12T00:00:00+0000
189.16,189.28,186.6,188.08,AAPL,2023-07-11T00:00:00+0000
189.26,189.99,187.035,188.61,AAPL,2023-07-10T00:00:00+0000
191.41,192.67,190.24,190.68,AAPL,2023-07-07T00:00:00+0000
189.84,192.018,189.21,191.81,AAPL,2023-07-06T00:00:00+0000
191.565,192.98,190.62,191.33,AAPL,2023-07-05T00:00:00+0000
193.78,193.88,191.76,192.46,AAPL,2023-07-03T00:00:00+0000
191.63,194.48,191.26,193.97,AAPL,2023-06-30T00:00:00+0000
189.08,190.07,188.94,189.59,AAPL,2023-06-29T00:00:00+0000
187.93,189.9,187.6,189.25,AAPL,2023-06-28T00:00:00+0000
185.89,188.3899,185.67,188.06,AAPL,2023-06-27T00:00:00+0000
186.83,188.05,185.23,185.27,AAPL,2023-06-26T00:00:00+0000
185.55,187.56,185.01,186.68,AAPL,2023-06-23T00:00:00+0000
183.74,187.05,183.67,187.0,AAPL,2023-06-22T00:00:00+0000
184.9,185.41,182.59,183.96,AAPL,2023-06-21T00:00:00+0000
184.41,186.1,184.41,185.01,AAPL,2023-06-20T00:00:00+0000
186.73,186.99,184.27,184.92,AAPL,2023-06-16T00:00:00+0000
183.96,186.52,183.78,186.01,AAPL,2023-06-15T00:00:00+0000
183.37,184.39,182.02,183.95,AAPL,2023-06-14T00:00:00+0000
182.8,184.15,182.44,183.31,AAPL,2023-06-13T00:00:00+0000
181.27,183.89,180.97,183.79,AAPL,2023-06-12T00:00:00+0000
181.5,182.23,180.63,180.96,AAPL,2023-06-09T00:00:00+0000
177.9,180.84,177.46,180.57,AAPL,2023-06-08T00:00:00+0000
178.44,181.21,177.32,177.82,AAPL,2023-06-07T00:00:00+0000
179.97,180.12,177.43,179.21,AAPL,2023-06-06T00:00:00+0000
182.63,184.95,178.04,179.58,AAPL,2023-06-05T00:00:00+0000
181.03,181.78,179.26,180.95,AAPL,2023-06-02T00:00:00+0000
177.7,180.12,176.93,180.09,AAPL,2023-06-01T00:00:00+0000
177.33,179.35,176.76,177.25,AAPL,2023-05-31T00:00:00+0000
176.96,178.99,176.57,177.3,AAPL,2023-05-30T00:00:00+0000
173.32,175.77,173.11,175.43,AAPL,2023-05-26T00:00:00+0000
172.41,173.9,171.69,172.99,AAPL,2023-05-25T00:00:00+0000
171.09,172.42,170.52,171.84,AAPL,2023-05-24T00:00:00+0000
173.13,173.38,171.28,171.56,AAPL,2023-05-23T00:00:00+0000
173.98,174.71,173.45,174.2,AAPL,2023-05-22T00:00:00+0000
176.39,176.39,174.94,175.16,AAPL,2023-05-19T00:00:00+0000
173.0,175.24,172.58,175.05,AAPL,2023-05-18T00:00:00+0000
171.71,172.93,170.42,172.69,AAPL,2023-05-17T00:00:00+0000
171.99,173.14,171.8,172.07,AAPL,2023-05-16T00:00:00+0000
173.16,173.21,171.47,172.07,AAPL,2023-05-15T00:00:00+0000
173.62,174.06,171.0,172.57,AAPL,2023-05-12T00:00:00+0000
173.85,174.59,172.17,173.75,AAPL,2023-05-11T00:00:00+0000
173.02,174.03,171.9,173.56,AAPL,2023-05-10T00:00:00+0000
173.05,173.54,171.6,171.77,AAPL,2023-05-09T00:00:00+0000
172.48,173.85,172.11,173.5,AAPL,2023-05-08T00:00:00+0000
170.98,174.3,170.76,173.57,AAPL,2023-05-05T00:00:00+0000
164.89,167.04,164.31,165.79,AAPL,2023-05-04T00:00:00+0000
169.5,170.92,167.16,167.45,AAPL,2023-05-03T00:00:00+0000
170.09,170.35,167.54,168.54,AAPL,2023-05-02T00:00:00+0000
169.28,170.45,168.64,169.59,AAPL,2023-05-01T00:00:00+0000
168.49,169.85,167.88,169.68,AAPL,2023-04-28T00:00:00+0000
165.19,168.56,165.19,168.41,AAPL,2023-04-27T00:00:00+0000
163.06,165.28,162.8,163.76,AAPL,2023-04-26T00:00:00+0000
165.19,166.3,163.73,163.77,AAPL,2023-04-25T00:00:00+0000
165.05,165.6,163.9,165.33,AAPL,2023-04-24T00:00:00+0000
165.05,166.45,164.49,165.02,AAPL,2023-04-21T00:00:00+0000
166.09,167.87,165.56,166.65,AAPL,2023-04-20T00:00:00+0000
165.8,168.16,165.54,167.63,AAPL,2023-04-19T00:00:00+0000
166.1,167.41,165.65,166.47,AAPL,2023-04-18T00:00:00+0000
165.09,165.39,164.03,165.23,AAPL,2023-04-17T00:00:00+0000
164.59,166.32,163.82,165.21,AAPL,2023-04-14T00:00:00+0000
161.63,165.8,161.44,165.56,AAPL,2023-04-13T00:00:00+0000
161.22,162.06,159.78,160.1,AAPL,2023-04-12T00:00:00+0000
162.35,162.36,160.51,160.8,AAPL,2023-04-11T00:00:00+0000
161.42,162.03,160.08,162.03,AAPL,2023-04-10T00:00:00+0000
162.43,164.9584,162.0,164.66,AAPL,2023-04-06T00:00:00+0000
164.74,165.05,161.8,163.76,AAPL,2023-04-05T00:00:00+0000
166.595,166.83,165.11,165.63,AAPL,2023-04-04T00:00:00+0000
164.27,166.29,164.27,166.17,AAPL,2023-04-03T00:00:00+0000
162.44,165.0,161.91,164.9,AAPL,2023-03-31T00:00:00+0000
161.53,162.47,161.271,162.36,AAPL,2023-03-30T00:00:00+0000
159.37,161.04,159.35,160.77,AAPL,2023-03-29T00:00:00+0000
157.97,158.1277,155.98,157.65,AAPL,2023-03-28T00:00:00+0000
159.94,160.77,157.87,158.28,AAPL,2023-03-27T00:00:00+0000
158.86,160.34,157.85,160.25,AAPL,2023-03-24T00:00:00+0000
158.83,161.55,157.68,158.93,AAPL,2023-03-23T00:00:00+0000
159.3,162.14,157.81,157.83,AAPL,2023-03-22T00:00:00+0000
157.32,159.4,156.54,159.28,AAPL,2023-03-21T00:00:00+0000
155.07,157.81,154.15,157.4,AAPL,2023-03-20T00:00:00+0000
156.08,156.74,154.28,155.0,AAPL,2023-03-17T00:00:00+0000
152.16,156.42,151.64,155.85,AAPL,2023-03-16T00:00:00+0000
151.19,153.245,149.92,152.99,AAPL,2023-03-15T00:00:00+0000
151.28,153.4,150.1,152.59,AAPL,2023-03-14T00:00:00+0000
147.805,153.14,147.7,150.47,AAPL,2023-03-13T00:00:00+0000
